Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
1.262917   305.017831   1681.267831   3086.548653   4254.020839
1.269167   269.445756   2027.359800   3039.419985   4327.887532
1.275417   284.591886   2067.213148   3106.514442   4515.210617
1.281667   296.774879   2048.133796   3130.851587   4616.887374
1.287917   292.878821   2028.377528   3102.267847   4371.356873
1.294167   264.030197   2099.771695   3062.133243   4268.394453
1.300417   221.535248   2078.764370   3093.284322   3609.878141
1.306667   243.490791   2043.657740   3102.590339   3971.044504
1.312917   288.217611   2024.131409   3121.363283   3973.003831
1.319167   356.824204   1918.429651   3119.087010   4287.174470
1.325417   399.325147   1756.712915   2867.729666   3382.934503
1.331667   437.507739   1691.173514   2922.217266   3507.962081
1.337917   381.018394   1727.697579   3200.729344   3684.246286
1.344167   1614.098013   3204.340553   3687.350104   --undefined--
1.350417   181.628271   1635.602646   3159.230980   3645.151037
1.356667   1320.934231   2222.361880   3021.415134   4386.539664
1.362917   600.796849   1685.547547   2756.957675   4023.796037
1.369167   706.501120   1992.173430   2712.912446   4039.594151
1.375417   626.732654   1390.388591   2446.525389   4084.013694
1.381667   650.049778   1404.796398   2431.922109   4033.872386
1.387917   636.144649   1378.305498   2431.598775   3886.713937
1.394167   652.342164   1341.587551   2388.869588   3741.665853
1.400417   668.242345   1351.151473   2319.880088   3736.956204
1.406667   670.557375   1363.765055   2276.350068   3878.728809
1.412917   649.474209   1348.898489   2246.455433   3681.429428
1.419167   650.272820   1346.830524   2233.727063   3578.160650
1.425417   651.479804   1358.197228   2245.380356   3554.645718
1.431667   642.505827   1344.834474   2227.363351   3576.017760
1.437917   629.184146   1326.768078   2212.807410   3574.718814
1.444167   632.838650   1324.103310   2192.502872   3596.473089
1.450417   642.423873   1329.132134   2163.373495   3601.789637
1.456667   611.767947   1329.533003   2137.764768   3562.752118
1.462917   603.636689   1319.538294   2114.985578   3548.131637
1.469167   592.890311   1322.020813   2102.591845   3544.758406
1.475417   572.058729   1323.280222   2069.561582   3545.094454
1.481667   563.253819   1319.303526   2019.189987   3534.155135
1.487917   531.779375   1319.396304   1967.691132   3529.927394
1.494167   534.156956   1310.054614   1939.788260   3519.837896
1.500417   514.033121   1310.304723   1811.452563   3530.147097
1.506667   488.977746   1286.091941   1759.907544   3517.719433
1.512917   477.041642   1270.275143   1699.461961   3483.983353
1.519167   441.327437   1272.395199   1706.616212   3511.126525
1.525417   445.846645   1267.544586   1664.680584   3499.303870
1.531667   435.127830   1262.510098   1635.487280   3462.489814
1.537917   440.323218   1262.639500   1643.933399   3469.020172
1.544167   457.456350   1267.730318   1655.349519   3471.687477
1.550417   452.536487   1273.872885   1662.081489   3478.218112
1.556667   473.562351   1270.517398   1684.399696   3465.290620
1.562917   478.043995   1270.341573   1708.077777   3447.701740
1.569167   484.141089   1279.706883   1722.641696   3440.366317
1.575417   512.570644   1296.231031   1745.948375   3443.999575
1.581667   524.812664   1308.573611   1815.172665   3453.701948
1.587917   537.287234   1306.562541   1861.522803   3467.627089
1.594167   563.961425   1318.711180   1924.621404   3488.633600
1.600417   562.549945   1303.357033   2020.069763   3453.972296
1.606667   585.900254   1301.520959   2076.597817   3427.982674
1.612917   599.029551   1286.272579   2249.296870   3429.740252
1.619167   608.908327   1287.210981   2304.370314   3423.075190
1.625417   621.059320   1281.673279   2413.287529   3414.345510
1.631667   605.912025   1273.199762   2511.952823   3424.232914
1.637917   619.278588   1270.627910   2552.036354   3451.134773
1.644167   613.030114   1272.392043   2572.605151   3492.295407
1.650417   609.915000   1275.647675   2576.908910   3481.154958
1.656667   619.238266   1276.958324   2571.899669   3392.704671
1.662917   598.436225   1260.569855   2560.874195   3361.605367
1.669167   597.330526   1268.025164   2557.988226   3373.558789
1.675417   589.361500   1288.410281   2536.813617   3369.130176
1.681667   537.396947   1302.628574   2499.678072   3399.994716
1.687917   524.008501   1314.091878   2473.450706   3447.847528
1.694167   469.434753   1322.416505   2420.006382   3502.934204
1.700417   449.991766   1321.308398   2493.364610   3629.878347
1.706667   400.451158   1309.616427   2585.510323   3704.572088
1.712917   337.902668   1274.416064   2700.759765   3752.592989
